Category,Component,Manufacturer,Manufacturer_Location,Customer,Customer_Location,Manfacture Model,Battery subcomponent
Battery,High-capacity battery module,BYD,"Dongguan, China",Yuneec,"Jinhua, China",DJI Air 3,lithium-ion cells
Battery,Long-endurance battery pack,SkyCharge Batteries,"Dublin, Ireland",DJI,"Shenzhen, China",Matrice 350 RTK,high-energy li-ion cells
Battery,Long-endurance battery pack,SkyCharge Batteries,"Dublin, Ireland",Autel Robotics,"Shenzhen, China",EVO II Pro,high-energy li-ion cells
Battery,High-capacity battery module,DroneVolt Cells,"Lyon, France",Freefly Systems,"Woodinville, USA",Mavic 3,lithium-ion cells
Battery,Hybrid battery module,DroneVolt Cells,"Lyon, France",DJI,"Shenzhen, China",NETRA V4,hybrid li-ion cells
Battery,Hybrid battery module,Samsung SDI,"Suwon, South Korea",Zipline,"South San Francisco, USA",Dragonfish,hybrid li-ion cells
Battery,Intelligent Battery Pack,FutureVolt,"Bangalore, India",Parrot,"Paris, France",Dragonfish,lipo cells
Battery,High-capacity battery module,OceanCell,"Rotterdam, Netherlands",Skydio,"San Mateo, USA",Anafi USA,lithium-ion cells
Battery,Intelligent Battery Pack,PolarEnergy,"Reykjavik, Iceland",Zipline,"South San Francisco, USA",EVO Max 4T,lipo cells
Battery,Rugged battery pack,SkyCharge Batteries,"Dublin, Ireland",Skydio,"San Mateo, USA",Skydio 2+,high-rate li-ion cells
Battery,Long-endurance battery pack,AeroLith Labs,"San Jose, USA",Wingcopter,"Weiterstadt, Germany",Dragonfish,high-energy li-ion cells
Battery,Long-endurance battery pack,EnerNext Batteries,"Austin, USA",Autel Robotics,"Shenzhen, China",Skydio 2+,high-energy li-ion cells
Battery,High-capacity battery module,CATL,"Ningde, China",DJI,"Shenzhen, China",EVO II Pro,lithium-ion cells
Battery,High-capacity battery module,EnerNext Batteries,"Austin, USA",Wingcopter,"Weiterstadt, Germany",Anafi Ai,lithium-ion cells
Battery,Long-endurance battery pack,EnerNext Batteries,"Austin, USA",Wingcopter,"Weiterstadt, Germany",Anafi Ai,high-energy li-ion cells
Battery,Long-endurance battery pack,BYD,"Dongguan, China",Yuneec,"Jinhua, China",EVO II Pro,high-energy li-ion cells
Battery,Rugged battery pack,DroneVolt Cells,"Lyon, France",Yuneec,"Jinhua, China",Matrice 350 RTK,high-rate li-ion cells
Battery,Smart battery,BYD,"Dongguan, China",Zipline,"South San Francisco, USA",Dragonfish,lipo cells
Battery,Hybrid battery module,Samsung SDI,"Suwon, South Korea",Zipline,"South San Francisco, USA",H520E,hybrid li-ion cells
Battery,Hybrid battery module,Samsung SDI,"Suwon, South Korea",Skydio,"San Mateo, USA",EVO Max 4T,hybrid li-ion cells
Battery,High-capacity battery module,PolarEnergy,"Reykjavik, Iceland",Yuneec,"Jinhua, China",Anafi USA,lithium-ion cells
Battery,High-capacity battery module,Samsung SDI,"Suwon, South Korea",Parrot,"Paris, France",EVO Max 4T,lithium-ion cells
Battery,Rugged battery pack,FutureVolt,"Bangalore, India",Parrot,"Paris, France",Anafi Ai,high-rate li-ion cells
Battery,Long-endurance battery pack,Samsung SDI,"Suwon, South Korea",Freefly Systems,"Woodinville, USA",Anafi Ai,high-energy li-ion cells
Battery,High-capacity battery module,LG Energy Solution,"Seoul, South Korea",Autel Robotics,"Shenzhen, China",EVO Max 4T,lithium-ion cells
Battery,Long-endurance battery pack,AeroLith Labs,"San Jose, USA",Autel Robotics,"Shenzhen, China",EVO II Pro,high-energy li-ion cells
Battery,High-capacity battery module,OceanCell,"Rotterdam, Netherlands",Yuneec,"Jinhua, China",Wingcopter 198,lithium-ion cells
Battery,Intelligent Battery Pack,DroneVolt Cells,"Lyon, France",Yuneec,"Jinhua, China",Matrice 350 RTK,lipo cells
Battery,Rugged battery pack,Panasonic Energy,"Osaka, Japan",Autel Robotics,"Shenzhen, China",DJI Air 3,high-rate li-ion cells
Battery,High-capacity battery module,FutureVolt,"Bangalore, India",Freefly Systems,"Woodinville, USA",DJI Air 3,lithium-ion cells
Battery,Smart battery,LG Energy Solution,"Seoul, South Korea",Skydio,"San Mateo, USA",Typhoon H3,lipo cells
Battery,Intelligent Battery Pack,EnerNext Batteries,"Austin, USA",DJI,"Shenzhen, China",Dragonfish,lipo cells
Battery,High-capacity battery module,SkyCharge Batteries,"Dublin, Ireland",Skydio,"San Mateo, USA",Skydio 2+,lithium-ion cells
Battery,Long-endurance battery pack,EnerNext Batteries,"Austin, USA",Freefly Systems,"Woodinville, USA",NETRA V4,high-energy li-ion cells
Battery,Rugged battery pack,FutureVolt,"Bangalore, India",Skydio,"San Mateo, USA",Dragonfish,high-rate li-ion cells
Battery,Intelligent Battery Pack,Samsung SDI,"Suwon, South Korea",Autel Robotics,"Shenzhen, China",Astro,lipo cells
Battery,Hybrid battery module,OceanCell,"Rotterdam, Netherlands",Wingcopter,"Weiterstadt, Germany",Mavic 3,hybrid li-ion cells
Battery,High-capacity battery module,Samsung SDI,"Suwon, South Korea",DJI,"Shenzhen, China",EVO II Pro,lithium-ion cells
Battery,High-capacity battery module,SkyCharge Batteries,"Dublin, Ireland",Wingcopter,"Weiterstadt, Germany",DJI Air 3,lithium-ion cells
Battery,Intelligent Battery Pack,EnerNext Batteries,"Austin, USA",Autel Robotics,"Shenzhen, China",DJI Air 3,lipo cells
Battery,Hybrid battery module,Samsung SDI,"Suwon, South Korea",Parrot,"Paris, France",EVO Max 4T,hybrid li-ion cells
Battery,Rugged battery pack,DroneVolt Cells,"Lyon, France",Autel Robotics,"Shenzhen, China",Skydio X2,high-rate li-ion cells
Battery,Hybrid battery module,LG Energy Solution,"Seoul, South Korea",Autel Robotics,"Shenzhen, China",NETRA V4,hybrid li-ion cells
Battery,Hybrid battery module,FutureVolt,"Bangalore, India",Skydio,"San Mateo, USA",Skydio 2+,hybrid li-ion cells
Battery,Long-endurance battery pack,EnerNext Batteries,"Austin, USA",Zipline,"South San Francisco, USA",NETRA V4,high-energy li-ion cells
Battery,High-capacity battery module,PolarEnergy,"Reykjavik, Iceland",Autel Robotics,"Shenzhen, China",Mavic 3,lithium-ion cells
Battery,Rugged battery pack,OceanCell,"Rotterdam, Netherlands",Zipline,"South San Francisco, USA",Zipline P2,high-rate li-ion cells
Battery,Long-endurance battery pack,DroneVolt Cells,"Lyon, France",Freefly Systems,"Woodinville, USA",Skydio 2+,high-energy li-ion cells
Battery,Intelligent Battery Pack,EnerNext Batteries,"Austin, USA",DJI,"Shenzhen, China",H520E,lipo cells
Battery,Long-endurance battery pack,EnerNext Batteries,"Austin, USA",Wingcopter,"Weiterstadt, Germany",Skydio 2+,high-energy li-ion cells
Battery,High-capacity battery module,LG Energy Solution,"Seoul, South Korea",Skydio,"San Mateo, USA",Skydio X2,lithium-ion cells
Battery,Intelligent Battery Pack,Panasonic Energy,"Osaka, Japan",DJI,"Shenzhen, China",Anafi USA,lipo cells
Battery,Rugged battery pack,BYD,"Dongguan, China",Autel Robotics,"Shenzhen, China",Anafi USA,high-rate li-ion cells
Battery,Hybrid battery module,SkyCharge Batteries,"Dublin, Ireland",Skydio,"San Mateo, USA",Skydio 2+,hybrid li-ion cells
Battery,Smart battery,LG Energy Solution,"Seoul, South Korea",DJI,"Shenzhen, China",Skydio 2+,lipo cells
Battery,Rugged battery pack,EnerNext Batteries,"Austin, USA",Parrot,"Paris, France",Typhoon H3,high-rate li-ion cells
Battery,Rugged battery pack,SkyCharge Batteries,"Dublin, Ireland",Autel Robotics,"Shenzhen, China",Astro,high-rate li-ion cells
Battery,High-capacity battery module,LG Energy Solution,"Seoul, South Korea",Wingcopter,"Weiterstadt, Germany",EVO II Pro,lithium-ion cells
Battery,Intelligent Battery Pack,EnerNext Batteries,"Austin, USA",Yuneec,"Jinhua, China",Anafi Ai,lipo cells
Battery,Long-endurance battery pack,AeroLith Labs,"San Jose, USA",Freefly Systems,"Woodinville, USA",Alta X,high-energy li-ion cells
Battery,Smart battery,FutureVolt,"Bangalore, India",Freefly Systems,"Woodinville, USA",Dragonfish,lipo cells
Battery,Long-endurance battery pack,LG Energy Solution,"Seoul, South Korea",DJI,"Shenzhen, China",Skydio X2,high-energy li-ion cells
Battery,Smart battery,AeroLith Labs,"San Jose, USA",Yuneec,"Jinhua, China",Zipline P2,lipo cells
Battery,High-capacity battery module,EnerNext Batteries,"Austin, USA",Skydio,"San Mateo, USA",Anafi Ai,lithium-ion cells
Battery,Long-endurance battery pack,CATL,"Ningde, China",DJI,"Shenzhen, China",Skydio 2+,high-energy li-ion cells
Battery,High-capacity battery module,SkyCharge Batteries,"Dublin, Ireland",ideaForge,"Mumbai, India",EVO II Pro,lithium-ion cells
Battery,Long-endurance battery pack,LG Energy Solution,"Seoul, South Korea",DJI,"Shenzhen, China",Anafi Ai,high-energy li-ion cells
Battery,Long-endurance battery pack,Panasonic Energy,"Osaka, Japan",DJI,"Shenzhen, China",DJI Air 3,high-energy li-ion cells
